STT,SOBAODANH,Toán,Văn,Lí,Hóa,Sinh,Sử,Địa,Giáo dục công dân,Ngoại ngữ,Mã môn ngoại ngữ
1,1017985,9.0,,8.25,8.5,3.0,,,,,
2,1017986,,8.5,,,,,,,,
3,1017988,8.2,7.0,5.75,4.25,,,,,8.6,N1
4,1017989,2.2,4.75,,,,5.75,4.25,0.0,,
5,1017990,,7.25,,,,,,,,
6,1017991,3.0,6.5,,,,7.5,9.0,9.75,,
7,1017992,7.4,,6.25,3.75,4.75,,,,,
8,1017993,,6.5,,,,5.75,6.5,6.75,,
9,1017994,,,,,,,,,9.0,N1
10,1017995,3.4,7.75,,,,4.75,4.5,7.25,,
11,1017996,6.8,8.0,,,,,,,5.0,N1
12,1017997,3.4,7.75,,,,8.75,9.5,9.0,,
13,1017998,,6.0,,,,7.0,7.5,,,
14,1017999,8.0,8.75,,,,,,,7.8,N1
15,1018000,7.8,7.5,,,,7.0,,,3.4,N1
16,1018002,7.8,7.0,3.5,4.75,5.0,,,,4.6,N1
17,1018003,7.6,7.25,,,,10.0,9.5,,,
18,1018005,8.0,,,7.0,,,,,8.6,N1
19,1018006,8.2,,,7.5,7.5,,,,,
20,1018008,6.4,9.0,,,,,,,5.6,N1
21,1018009,4.2,8.75,,,,5.75,8.25,7.5,,
22,1018010,,8.5,,,,8.25,9.5,9.0,6.8,N1
23,1018011,6.2,9.0,,,,,,,4.8,N1
24,1018012,,6.0,,,,3.5,6.5,,,
25,1018014,8.0,8.25,8.5,,,,,,5.8,N1
26,1018015,8.4,9.0,,,,,,,5.6,N1
27,1018016,8.4,9.5,,,,,,,7.0,N1
28,1018017,7.8,7.0,7.75,3.75,3.0,,,,5.8,N1
29,1018018,8.0,9.0,,,,5.75,,,7.6,N1
30,1018019,7.0,8.0,,,,,,,5.2,N1
31,1018020,8.4,,,9.0,,,,,9.2,N1
32,1018021,8.0,,5.75,8.25,9.0,,,,,
33,1018022,,5.0,,,,5.75,8.0,8.5,,
34,1018023,6.6,,,6.0,6.5,,,,,
35,1018026,8.4,8.5,,,,7.0,8.0,9.0,8.6,N1
36,1018027,7.0,8.25,,,,,,,7.2,N1
37,1018028,8.2,2.25,8.75,9.25,2.5,,,,,
38,1018029,,7.75,,,,7.25,6.0,1.25,,
39,1018030,6.8,7.75,,,,,,,6.8,N1
40,1018031,,5.25,,,,6.5,5.75,6.75,,
41,1018032,8.0,9.0,,,,,,,5.4,N1
42,1018033,,7.0,,,,4.75,6.25,,,
43,1018034,3.6,7.5,,,,7.5,4.75,8.75,7.6,N1
44,1018035,7.2,8.5,,,,,,,6.6,N1
45,1018036,4.2,7.25,,,,7.0,7.0,8.5,3.4,N1
46,1018037,,6.25,,,,7.0,7.25,,,
47,1018038,,6.75,,,,6.25,7.75,6.25,,
48,1018039,7.2,8.5,,,,,,,7.0,N1
49,1018040,6.8,9.0,,,,,,,6.0,N1
50,1018041,9.0,,,8.75,8.5,,,,,
51,1018042,1.2,3.5,,,,4.75,6.5,7.0,2.6,N1
52,1018043,7.4,9.0,,,,,,,4.8,N1
53,1018044,,5.75,,,,7.25,5.0,7.25,,
54,1018045,,9.0,,,,5.75,7.75,9.25,,
55,1018046,3.0,4.75,,,,3.75,3.0,5.0,2.6,N1
56,1018047,8.0,9.5,,,,,,,7.8,N1
57,1018048,,6.0,,,,5.75,7.75,,,
58,1018049,,7.25,,,,6.25,7.5,,,
59,1018050,,8.0,,,,9.25,9.0,8.0,,
60,1018051,8.8,9.0,,,,,,,8.0,N1
61,1018052,4.0,6.5,,,,4.75,5.0,,,
62,1018053,7.2,,,5.5,5.75,,,,,
63,1018054,7.8,8.5,,,,7.5,7.0,8.5,5.8,N1
64,1018055,4.6,,2.75,5.0,,,,,,
65,1018056,6.0,8.0,,,,8.25,7.25,8.0,7.8,N1
66,1018057,,,,,,4.25,6.25,6.5,,
67,1018058,6.8,7.75,,,,8.75,8.0,8.25,5.8,N1
68,1018059,,6.25,,,,5.25,8.25,9.25,,
69,1018060,,7.0,,,,8.5,6.5,,,
